player,type,season,contract_yrs,first_year_percent_of_cap
Michael Carter-Williams,UFA,2020,NA,NA
Michael Frazier,RFA,2020,NA,NA
Michael Kidd-Gilchrist,UFA,2020,NA,NA
Mike Muscala,PO,2020,NA,2283034
Montrezl Harrell,UFA,2020,NA,NA
Moses Brown,RFA,2020,NA,NA
Naz Mitrou-Long,RFA,2020,NA,NA
Nerlens Noel,UFA,2020,NA,NA
Nicolas Batum,PO,2020,NA,27130435
Noah Vonleh,UFA,2020,NA,NA
Oshae Brissett,RFA,2020,NA,NA
Otto Porter,PO,2020,NA,28489238
Pat Connaughton,UFA,2020,NA,NA
Patrick Patterson,UFA,2020,NA,NA
Paul Millsap,UFA,2020,NA,NA
Paul Watson,RFA,2020,NA,NA
Quinndary Weatherspoon,RFA,2020,NA,NA
Rajon Rondo,PO,2020,NA,2619605
Raul Neto,UFA,2020,NA,NA
Ray Spalding,RFA,2020,NA,NA
Rayjon Tucker,RFA,2020,NA,NA
Reggie Jackson,UFA,2020,NA,NA
Robin Lopez,PO,2020,NA,5005350
Rodney Hood,PO,2020,NA,6003900
Rondae Hollis-Jefferson,UFA,2020,NA,NA
Semi Ojeleye,CO,2020,NA,NA
Serge Ibaka,UFA,2020,NA,NA
Shabazz Napier,UFA,2020,NA,NA
Shaq Buchanan,RFA,2020,NA,NA
Shaquille Harrison,RFA,2020,NA,NA
Skal Labissière,RFA,2020,NA,NA
Solomon Hill,UFA,2020,NA,NA
Stanley Johnson,PO,2020,NA,3804150
Stanley Johnson,UFA,2020,NA,NA
Sterling Brown,RFA,2020,NA,NA
Sviatoslav Mykhailiuk,CO,2020,NA,NA
Tacko Fall,RFA,2020,NA,NA
Tariq Owens,RFA,2020,NA,NA
Thabo Sefolosha,UFA,2020,NA,NA
Theo Pinson,CO,2020,NA,NA
Thon Maker,RFA,2020,NA,NA
Tim Hardaway Jr.,PO,2020,NA,18975000
Tony Snell,PO,2020,NA,12178571
Torrey Craig,RFA,2020,NA,NA
Tremont Waters,RFA,2020,NA,NA
Treveon Graham,UFA,2020,NA,NA
Tristan Thompson,UFA,2020,NA,NA
Tyson Chandler,UFA,2020,NA,NA
Udonis Haslem,UFA,2020,NA,NA
Vince Carter,UFA,2020,NA,NA
Wenyen Gabriel,RFA,2020,NA,NA
Wesley Iwundu,RFA,2020,NA,NA
Wesley Matthews,PO,2020,NA,2692991
William Howard,RFA,2020,NA,NA
Willie Cauley-Stein,PO,2020,NA,2286357
Willy Hernangómez,UFA,2020,NA,NA
Wilson Chandler,UFA,2020,NA,NA
Yogi Ferrell,UFA,2020,NA,NA
Yuta Watanabe,RFA,2020,NA,NA
Zylan Cheatham,RFA,2020,NA,NA
